Date;Open;High;Low;Close;Volume
19/05/2014;21,160.0;21,165.0;21,080.0;21,110.0;
20/05/2014;21,132.5;21,160.0;21,097.5;21,130.0;
21/05/2014;21,155.0;21,165.0;21,135.0;21,130.0;
22/05/2014;21,155.0;21,160.0;21,135.0;21,110.0;
23/05/2014;21,140.0;21,152.5;21,130.0;21,125.0;
26/05/2014;21,145.0;21,162.0;21,128.5;21,120.0;
27/05/2014;21,145.0;21,150.0;21,100.0;21,120.0;
28/05/2014;21,145.0;21,165.0;21,137.5;21,140.0;
29/05/2014;21,165.0;21,180.0;21,102.5;21,140.0;
30/05/2014;21,170.0;21,172.5;21,152.5;21,135.0;
02/06/2014;21,155.0;21,182.5;21,100.0;21,160.0;
03/06/2014;21,182.5;21,218.5;21,172.5;21,190.0;
04/06/2014;21,225.5;21,228.0;21,140.0;21,160.0;
05/06/2014;21,200.0;21,223.0;21,190.0;21,180.0;
06/06/2014;21,205.0;21,217.5;21,140.0;21,160.0;
09/06/2014;21,185.0;21,225.0;21,180.0;21,190.0;
10/06/2014;21,220.0;21,225.0;21,202.5;21,185.0;
11/06/2014;21,215.0;21,223.0;21,197.5;21,195.0;
12/06/2014;21,220.5;21,233.0;21,140.0;21,195.0;
13/06/2014;21,225.0;21,235.5;21,140.0;21,200.0;
16/06/2014;21,212.5;21,245.0;21,140.0;21,185.0;
17/06/2014;21,220.0;21,236.0;21,210.0;21,200.0;
18/06/2014;21,233.0;21,243.0;21,212.5;21,185.0;
19/06/2014;21,292.5;21,380.0;21,288.5;21,295.0;
20/06/2014;21,310.0;21,350.0;21,305.0;21,280.0;
23/06/2014;21,310.0;21,342.5;21,295.0;21,305.0;
24/06/2014;21,325.0;21,360.0;21,295.0;21,280.0;
25/06/2014;21,330.0;21,352.5;21,305.0;21,300.0;
26/06/2014;21,330.0;21,345.0;21,305.0;21,300.0;
27/06/2014;21,330.0;21,347.5;21,305.0;21,300.0;
30/06/2014;21,330.0;21,352.5;21,302.5;21,300.0;
